#,timestamp,temp_c,temp_f,humidity,heat_event,latitude,longitude,is_green
1,1776618601.7141035,24.99,76.98,55.57,0,32.8797859,-117.2338626,false
2,1776618611.7286994,24.97,76.95,53.97,0,32.8797859,-117.2338626,false
3,1776618621.7431314,24.91,76.84,54.43,0,32.8797859,-117.2338626,false
4,1776618631.7653732,24.94,76.89,53.97,0,32.8797859,-117.2338626,false
5,1776618641.7920444,24.98,76.96,54,0,32.8797859,-117.2338626,false
6,1776618651.7984822,25.01,77.02,53.94,0,32.8797859,-117.2338626,false
7,1776618661.819992,25.05,77.09,53.71,0,32.8797859,-117.2338626,false
8,1776618671.8329594,25.06,77.11,53.65,0,32.8797859,-117.2338626,false
9,1776618681.8502204,25.08,77.14,53.59,0,32.8797859,-117.2338626,false
10,1776618691.8630013,25.09,77.16,53.59,0,32.8797859,-117.2338626,false
11,1776618701.881455,25.11,77.2,53.43,0,32.8797859,-117.2338626,false
12,1776618711.8975616,25.11,77.2,53.67,0,32.8797859,-117.2338626,false
13,1776618721.9279366,25.15,77.27,53.98,0,32.8797859,-117.2338626,false
14,1776618731.9390037,25.2,77.36,53.47,0,32.8797859,-117.2338626,false
15,1776618741.949064,25.23,77.41,53.3,0,32.8797859,-117.2338626,false
16,1776618751.9631622,25.22,77.4,53.27,0,32.8797859,-117.2338626,false
17,1776618761.9814858,25.22,77.4,53.16,0,32.8797859,-117.2338626,false
18,1776618772.0004852,25.23,77.41,53.12,0,32.8797859,-117.2338626,false
19,1776618782.0156927,25.26,77.47,53.1,0,32.8797859,-117.2338626,false
20,1776618792.0217757,25.27,77.49,53.84,0,32.8797859,-117.2338626,false
21,1776618802.0310235,25.2,77.36,54.03,0,32.8797859,-117.2338626,false
22,1776618812.0602853,25.15,77.27,53.57,0,32.8797859,-117.2338626,false
23,1776618822.0856395,25.13,77.23,53.28,0,32.8797859,-117.2338626,false
24,1776618832.1115441,25.13,77.23,53.37,0,32.8797859,-117.2338626,false
25,1776618842.13829,25.13,77.23,53.2,0,32.8797859,-117.2338626,false
26,1776618852.166893,25.11,77.2,53.2,0,32.8797859,-117.2338626,false
27,1776618862.1716738,25.06,77.11,53.67,0,32.8797351,-117.2337412,false
28,1776618872.1960914,25.02,77.04,53.35,0,32.8797351,-117.2337412,false
29,1776618882.2232924,24.91,76.84,53.46,0,32.8797351,-117.2337412,false
30,1776618892.2279572,24.88,76.78,54.07,0,32.8797351,-117.2337412,false
